Site,basin,file_zc,Date,Night,Time,DateTimeOriginal,Type,DR,Y,M,D,H,M,S,uS,Datum,Lat,Long,Zon,Easting,Northing,Elev,Sp_final,season,Species,Note,ID
BCB-0616,BCB,PBM-BCB-0616_0_20160620_041701_000.zc,2016-06-20,2016-06-19,4:17:01,2016-06-20 4:17,132,8,2016,6,20,4,17,1,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160620_041701_000.zc,2016-06-20,2016-06-19,4:17:01,2016-06-20 4:17,132,8,2016,6,20,4,17,1,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160617_215316_000.zc,2016-06-17,2016-06-17,21:53:16,2016-06-17 21:53,132,8,2016,6,17,21,53,16,0,NAD83,NA,NA,10U,605216,5455230,825,35K,2,35K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160617_231640_000.zc,2016-06-17,2016-06-17,23:16:40,2016-06-17 23:16,132,8,2016,6,17,23,16,40,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160618_011454_000.zc,2016-06-18,2016-06-17,1:14:54,2016-06-18 1:14,132,8,2016,6,18,1,14,54,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160618_011510_000.zc,2016-06-18,2016-06-17,1:15:10,2016-06-18 1:15,132,8,2016,6,18,1,15,10,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160618_011536_000.zc,2016-06-18,2016-06-17,1:15:36,2016-06-18 1:15,132,8,2016,6,18,1,15,36,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160618_011540_000.zc,2016-06-18,2016-06-17,1:15:40,2016-06-18 1:15,132,8,2016,6,18,1,15,40,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160618_011557_000.zc,2016-06-18,2016-06-17,1:15:57,2016-06-18 1:15,132,8,2016,6,18,1,15,57,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160618_012357_000.zc,2016-06-18,2016-06-17,1:23:57,2016-06-18 1:23,132,8,2016,6,18,1,23,57,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
