Site,file_zc,type,ID    ,Divrat,Date,Night,DateTimeOriginal,YYYY,MM,DD,HH,MN,SS,uS,Datum     ,Lat      ,Long      ,utm_zone,utm_easting,utm_nothing,Elev,Tape    ,Note                                                                     ,Sp_final,Species_full
143338_NE,ST5_PB338NE_0_20160623_214125_000.zc,132,NA,8,2016-06-23,2016-06-23,2016-06-23 21:41:25,2016,6,23,21,41,25,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,"20K,LACI(KSLACI,6,3,0.145700)"
143338_NE,ST5_PB338NE_0_20160628_031840_000.zc,132,NA,8,2016-06-28,2016-06-27,2016-06-28 03:18:40,2016,6,28,3,18,40,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,"20K,fLACI"
143338_NE,ST5_PB338NE_0_20160628_035908_000.zc,132,NA,8,2016-06-28,2016-06-27,2016-06-28 03:59:08,2016,6,28,3,59,8,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,20K
143338_NE,ST5_PB338NE_0_20160629_030401_000.zc,132,NA,8,2016-06-29,2016-06-28,2016-06-29 03:04:01,2016,6,29,3,4,1,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,"20K,fLACI,LACI(KSLACI,7,6,0.293180)"
143338_NE,ST5_PB338NE_0_20160629_030407_000.zc,132,NA,8,2016-06-29,2016-06-28,2016-06-29 03:04:07,2016,6,29,3,4,7,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,"20K,LACI(KSLACI,9,7,0.294773)"
143338_NE,ST5_PB338NE_0_20160701_213746_000.zc,132,NA,8,2016-07-01,2016-07-01,2016-07-01 21:37:46,2016,7,1,21,37,46,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,"20K,LACI(KSLACI,5,3,0.189257)"
143338_NE,ST5_PB338NE_0_20160701_234435_000.zc,132,NA,8,2016-07-01,2016-07-01,2016-07-01 23:44:35,2016,7,1,23,44,35,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",20K,"20K,LACI(KSLACI,6,5,0.334786)"
143338_NE,ST5_PB338NE_0_20160623_214113_000.zc,132,NA,8,2016-06-23,2016-06-23,2016-06-23 21:41:13,2016,6,23,21,41,13,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",25K,"25K,TABR(KSTABR,27,8,0.107713)"
143338_NE,ST5_PB338NE_0_20160625_224124_000.zc,132,NA,8,2016-06-25,2016-06-25,2016-06-25 22:41:24,2016,6,25,22,41,24,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",25K,"25K,LANO(KSLANO,3,3,0.469784)"
143338_NE,ST5_PB338NE_0_20160626_032006_000.zc,132,NA,8,2016-06-26,2016-06-25,2016-06-26 03:20:06,2016,6,26,3,20,6,0,NA,49.19987,-121.57586,10,603746,5450650,NA,NA,"Felix Martinez, Wahleach; Subset 3 Coastal; KSPro 3.1.8 NA 3.1.0         ",25K,"25K,LACI(KSLACI,8,5,0.234509)"
