Site,Date,Night,Time,DateTimeOriginal,SpeciesID
BCB-0616,2016-06-20,2016-06-19,4:17:01,2016-06-20 4:17,30K
BCB-0616,2016-06-20,2016-06-19,4:17:01,2016-06-20 4:17,30K
BCB-0616,2016-06-17,2016-06-17,21:53:16,2016-06-17 21:53,35K
BCB-0616,2016-06-17,2016-06-17,23:16:40,2016-06-17 23:16,30K
BCB-0616,2016-06-18,2016-06-17,1:14:54,2016-06-18 1:14,30K
BCB-0616,2016-06-18,2016-06-17,1:15:10,2016-06-18 1:15,30K
BCB-0616,2016-06-18,2016-06-17,1:15:36,2016-06-18 1:15,30K
BCB-0616,2016-06-18,2016-06-17,1:15:40,2016-06-18 1:15,30K
BCB-0616,2016-06-18,2016-06-17,1:15:57,2016-06-18 1:15,30K
BCB-0616,2016-06-18,2016-06-17,1:23:57,2016-06-18 1:23,30K
BCB-0616,2016-06-18,2016-06-17,1:24:01,2016-06-18 1:24,30K
BCB-0616,2016-06-18,2016-06-17,1:24:06,2016-06-18 1:24,30K
BCB-0616,2016-06-18,2016-06-17,2:23:15,2016-06-18 2:23,30K
BCB-0616,2016-06-18,2016-06-17,3:05:52,2016-06-18 3:05,NOISE
BCB-0616,2016-06-18,2016-06-17,3:09:50,2016-06-18 3:09,NOISE
BCB-0616,2016-06-21,2016-06-21,21:35:42,2016-06-21 21:35,MYCA
BCB-0616,2016-06-21,2016-06-21,21:54:54,2016-06-21 21:54,30K
CTB-0713,2016-07-13,2016-07-13,21:54:01,2016-07-13 21:54,MYEV
CTB-0713,2016-07-13,2016-07-13,23:03:09,2016-07-13 23:03,NOISE
CTB-0713,2016-07-13,2016-07-13,23:49:52,2016-07-13 23:49,30K
CTB-0713,2016-07-14,2016-07-13,0:05:33,2016-07-14 0:05,35K
CTB-0713,2016-07-14,2016-07-13,0:05:46,2016-07-14 0:05,35K
CTB-0713,2016-07-14,2016-07-13,0:05:54,2016-07-14 0:05,35K
CTB-0713,2016-07-14,2016-07-13,0:06:03,2016-07-14 0:06,40K
CTB-0713,2016-07-14,2016-07-13,0:06:09,2016-07-14 0:06,35K
CTB-0713,2016-07-14,2016-07-13,0:06:29,2016-07-14 0:06,35K
CTB-0713,2016-07-14,2016-07-13,0:06:53,2016-07-14 0:06,35K
CTB-0713,2016-07-14,2016-07-13,0:07:15,2016-07-14 0:07,35K
CTB-0713,2016-07-14,2016-07-13,1:57:56,2016-07-14 1:57,NOISE
CTB-0713,2016-07-14,2016-07-13,3:04:19,2016-07-14 3:04,35K
CTB-0713,2016-07-14,2016-07-13,3:04:26,2016-07-14 3:04,35K
CTB-0713,2016-07-14,2016-07-14,21:32:43,2016-07-14 21:32,35K
CTB-0713,2016-07-14,2016-07-14,21:32:58,2016-07-14 21:32,NOISE
CTB-0713,2016-07-14,2016-07-14,21:33:09,2016-07-14 21:33,35K
CTB-0713,2016-07-14,2016-07-14,22:05:45,2016-07-14 22:05,30K
CTB-0713,2016-07-15,2016-07-14,1:20:30,2016-07-15 1:20,35K
CTB-0713,2016-07-15,2016-07-14,3:43:25,2016-07-15 3:43,30K
CTB-0713,2016-07-15,2016-07-15,23:22:58,2016-07-15 23:22,35K
CTB-0713,2016-07-15,2016-07-15,23:23:35,2016-07-15 23:23,35K
CTB-0713,2016-07-15,2016-07-15,23:24:10,2016-07-15 23:24,35K
CTB-0713,2016-07-16,2016-07-15,0:38:24,2016-07-16 0:38,NOISE
CTB-0713,2016-07-16,2016-07-16,22:30:19,2016-07-16 22:30,40K
CTB-0713,2016-07-17,2016-07-17,21:54:16,2016-07-17 21:54,35K
CTB-0713,2016-07-17,2016-07-17,23:56:23,2016-07-17 23:56,40K
CTB-0713,2016-07-18,2016-07-17,5:06:43,2016-07-18 5:06,NOISE
CTB-0713,2016-07-18,2016-07-17,5:06:52,2016-07-18 5:06,NOISE
CTB-0713,2016-07-18,2016-07-18,21:37:44,2016-07-18 21:37,35K
CTB-0713,2016-07-18,2016-07-18,22:26:54,2016-07-18 22:26,35K
CTB-0713,2016-07-18,2016-07-18,22:29:21,2016-07-18 22:29,35K
CTB-0713,2016-07-18,2016-07-18,22:33:33,2016-07-18 22:33,35K
CTB-0713,2016-07-18,2016-07-18,22:57:13,2016-07-18 22:57,30K
CTB-0713,2016-07-18,2016-07-18,23:05:48,2016-07-18 23:05,30K
CTB-0713,2016-07-18,2016-07-18,23:18:28,2016-07-18 23:18,30K
CTB-0713,2016-07-18,2016-07-18,23:24:36,2016-07-18 23:24,30K
CTB-0713,2016-07-18,2016-07-18,23:24:47,2016-07-18 23:24,30K
CTB-0713,2016-07-18,2016-07-18,23:40:14,2016-07-18 23:40,40K
CTB-0713,2016-07-18,2016-07-18,23:40:23,2016-07-18 23:40,MYCA
CTB-0713,2016-07-18,2016-07-18,23:53:08,2016-07-18 23:53,35K
CTB-0713,2016-07-18,2016-07-18,23:54:32,2016-07-18 23:54,35K
CTB-0713,2016-07-18,2016-07-18,23:55:15,2016-07-18 23:55,MYLU
CTB-0713,2016-07-18,2016-07-18,23:57:02,2016-07-18 23:57,30K
CTB-0713,2016-07-18,2016-07-18,23:57:11,2016-07-18 23:57,MYEV
